BDiffs,AvgVelo
0.15,0.10089379549026489
0.155,0.114974844455719
0.16,0.10896679162979125
0.16499999999999998,0.1264511227607727
0.16999999999999998,0.12964491844177245
0.175,0.13267379999160767
0.18,0.13612359762191772
0.185,0.1337772250175476
0.19,0.15229545798937155
0.195,0.15663992725971712
0.2,0.14987523758139917
0.205,0.15730540721844405
0.21,0.16326819147382465
0.215,0.1602107673326079
0.22,0.16313594820253519
0.22499999999999998,0.17185422037378212
0.22999999999999998,0.16751367740565107
0.235,0.17622293761143318
0.24,0.178359622515521
0.245,0.17893067166849147
0.25,0.17802202510008558
0.255,0.1874203260668414
0.26,0.19016574356118784
0.265,0.18290133439293202
0.27,0.18499810346134046
0.275,0.19241073787612403
0.28,0.19544145391812442
0.28500000000000003,0.19453536037565755
0.29000000000000004,0.18653832376003265
0.295,0.1906866534002896
0.3,0.20210865216377455
0.305,0.20418930396759252
0.31,0.1954061765197321
0.315,0.20375284643408523
0.32,0.19247965069117293
0.325,0.19810015267699305
0.32999999999999996,0.1958580712331061
0.33499999999999996,0.20326543177954212
0.33999999999999997,0.19711223808494774
0.345,0.20288016698131822
0.35,0.2057646604684683
0.355,0.20526324632367113
0.36,0.2144681292743955
0.365,0.2065272925403968
0.37,0.20064477608582684
0.375,0.21536566463171267
0.38,0.20462590161312902
0.385,0.20701784917837596
0.39,0.20566306463102013
0.395,0.20978585839858785
0.4,0.2230579036667156
0.405,0.22410209645930024
0.41000000000000003,0.2147031998312151
0.41500000000000004,0.21364987404220553
0.42000000000000004,0.20422121324587433
0.42500000000000004,0.20944013660346714
0.43000000000000005,0.20153443692094186
0.43500000000000005,0.2104248671696104
0.43999999999999995,0.20889178530810631
0.44499999999999995,0.20725796962606496
0.44999999999999996,0.2171577291285738
0.45499999999999996,0.20232400679670814
0.45999999999999996,0.21404577153069634
0.46499999999999997,0.21486222637360766
0.47,0.2092306201683221
0.475,0.21469673243435947
0.48,0.20310068469879042
0.485,0.20825519836206233
0.49,0.23283610741297403
0.495,0.2234897146566215
0.5,0.2129683928861937
0.505,0.21438420708499736
0.51,0.21171467708253772
0.515,0.21354834988432111
0.52,0.21453414967661794
0.525,0.21380065044680777
0.53,0.2184528446750899
0.535,0.21777521941371306
0.54,0.2157247182234977
0.545,0.21652785765914767
0.55,0.21675616792104774
0.555,0.21397507446318806
0.56,0.21919812306319134
0.5650000000000001,0.21715990920900596
0.57,0.21826019267997665
0.575,0.22225918074851092
0.58,0.2102043841144826
0.585,0.22357310567583355
0.59,0.21598978740413013
0.595,0.22255031121532856
0.6,0.21373704377456232
0.605,0.2110278872399011
0.61,0.21530502385916894
0.615,0.21467492228648702
0.62,0.21670117820661094
0.625,0.2206815779209137
0.63,0.2153423904370861
0.635,0.21240859605464696
0.64,0.2134886289897718
0.645,0.21913968010683899
0.65,0.22045529069714329
0.655,0.21158324063972947
0.66,0.22093449802440238
0.665,0.20544226508737876
0.67,0.2149377476834324
0.675,0.22736559743466586
0.68,0.22353359256021776
0.685,0.21749302809935991
0.6900000000000001,0.21915585130125612
0.6950000000000001,0.2068744651202498
0.7000000000000001,0.2109792164840032
0.7050000000000001,0.2118674940184543
0.7100000000000001,0.20556423861907558
0.7150000000000001,0.20835366587416826
0.7200000000000001,0.21340981092644162
0.7250000000000001,0.21170154548012088
0.73,0.20618585419496255
0.735,0.20753761355796557
0.74,0.20824208551523637
0.745,0.2029811854854293
0.75,0.19887077701465966
0.755,0.20059738266334104
0.76,0.20104395288999388
0.765,0.1991866930434693
0.77,0.20161667554416526
0.775,0.2045539014545076
0.78,0.20438216694998085
0.785,0.1934926444237385
0.79,0.2033225969336499
0.795,0.1921612692643085
0.8,0.19812794937484568
0.805,0.19860564970914837
0.81,0.19999939341877782
0.8150000000000001,0.1930032238782009
0.8200000000000001,0.19699015130339778
0.8250000000000001,0.18875855538580152
0.8300000000000001,0.1933119814079928
0.8350000000000001,0.1902042247122712
0.8400000000000001,0.1873816742281024
0.8450000000000001,0.18680950434659596
0.8500000000000001,0.19753560892894828
0.855,0.18413295106190009
0.86,0.1864738222481548
0.865,0.18667362085202846
0.87,0.18203866134569482
0.875,0.1893027341744719
0.88,0.18739468358420389
0.885,0.1840274965409005
0.89,0.1803506221344222
0.895,0.18961239810013655
0.9,0.17996676882406823
0.905,0.18153510987758636
0.91,0.18470105726537306
0.915,0.17938531271301875
0.92,0.18036050306525744
0.925,0.18027755782831853
0.93,0.18023829015736614
0.935,0.17202894906608426
0.9400000000000001,0.17241093176829664
0.9450000000000001,0.1703851192425459
0.9500000000000001,0.16557912236636446
0.9550000000000001,0.16245147869335655
0.9600000000000001,0.15952375131784027
0.9650000000000001,0.1568389248538327
0.9700000000000001,0.15047645925583686
0.9750000000000001,0.14938375968534703
0.9800000000000001,0.1489021211323504
0.985,0.14500821213079165
0.99,0.1441735029220581
0.995,0.13814544128944806
1.0,0.1329256293109006
